"I consent to the consent forms (linked below)
Minors: https://docs.google.com/document/d/14w6gp9QchbVqPDLv1psL1NjiErK1QITEKm_ZILVbOvU/edit?usp=sharing
Parental consent form:
https://docs.google.com/document/d/1HsqcdTJtpVB8HqA9XQOMGX9iDxjjG9gf4zE7TLtf0ZQ/edit?usp=sharing
",Sex,Grade,Classes,Sleep,Homework,Freetime,Work,Extracurricular,EnjoymentExtracurricular,Extraversion,Family,Strictness,Friends,Relationship,Loneliness,Happiness,HappinessComparison,CharacterizationHappiness,CharacterizationDepression,Mental Health,SHC
Yes,Male,10,6,7,4,1,0,15,5,3,4,5,3,1,3,4,3,5,4,5,4
Yes,Female,12,4,6,3,6,0,11,5,3,4,5,5,6,3,5,5,4,5,5,4.75
Yes,Male,11,4,6,4,2,30,12,4,6,4,3,6,1,4,4,3,3,3,3,3.25
Yes,Male,9,0,5,1,7,0,0,1,1,2,3,3,1,1,1,1,1,2,1,1.25
Yes,Male,9,1,8,3,5,0,12,6,1,2,3,3,1,1,2,3,1,4,3,2.5
Yes,Male,11,1,7.5,0,7,0,0,4,3,6,3,7,4,3,6,3,5,6,5,5
Yes,Male,9,1,2,8,2,0,0,4,3,3,5,1,1,1,2,1,2,4,1,2.25
Yes,Male,12,9,6,2,8,0,6,6,1,4,3,2,1,2,1,4,1,1,1,1.75
Yes,Female,9,4,6.5,1.5,13,0,5,6,5,3,4,6,1,5,5,6,6,4,5,5.25
Yes,Female,11,2,7,6,2.5,3,2,6,2,5,6,4,1,1,3,3,2,4,3,3
Yes,Male,12,3,5,2,3,12,7,5,2,6,5,4,2,3,5,5,3,6,3,4.75
Yes,Male,11,5,7,3,2,0,4,6,7,7,5,6,1,3,6,6,5,2,5,4.75
Yes,Female,11,0,6,0,1.5,20,2,7,7,5,3,1,1,1,5,4,4,4,3,4.25
Yes,Male,11,0,8,0,5,0,5,7,3,6,5,7,1,3,5,5,1,4,5,3.75
Yes,Female,10,0,6,1,6,0,0,1,3,3,4,5,7,4,2,1,2,3,2,2
Yes,Male,11,5,6,1,6,20,0,4,3,5,6,2,5,2,5,4,3,4,4,4
Yes,Male,11,1,7,0.5,5,0,3,6,4,3,7,7,1,1,2,4,1,2,2,2.25
Yes,Male,12,1,7,2,3,0,5,4,1,3,3,6,1,1,3,2,2,3,4,2.5
Yes,Male,12,2,6,2,5,0,6,6,3,6,5,7,1,6,6,3,4,4,6,4.25
Yes,Female,9,1,6,9,17,0,5,6,3,2,5,5,4,1,2,2,3,1,2,2
Yes,Female,11,0,6,5,1,0,0,5,2,3,4,2,1,3,4,5,3,4,3,4
Yes,Male,11,3,6,0.5,3,0,2,7,3,3,6,7,1,1,3,2,2,3,2,2.5
Yes,Female,12,2,3.5,13,4,0,0,4,2,3,3,1,1,2,2,2,1,1,2,1.5
Yes,Other,10,0,6,3,5,0,0,6,2,2,5,2,1,1,2,3,4,2,3,2.75
Yes,Male,11,4,5,8,2,12,5,5,2,7,5,6,6,3,5,4,3,5,6,4.25
Yes,Female,12,8,5,3,2,0,6,5,6,5,2,5,4,3,6,7,6,3,4,5.5
Yes,Female,11,4,7,4,2,0,0,4,1,3,3,4,1,2,2,2,2,3,2,2.25
Yes,Male,10,7,9,2,5,0,6,1,4,4,5,1,1,1,3,2,1,3,2,2.25
Yes,Female,11,3,7,3,3,0,3.5,5,2,5,3,6,3,3,3,2,3,4,2,3
Yes,Female,9,6,5,3,7,0,4,4,5,2,1,6,2,4,4,2,3,6,3,3.75
Yes,Female,12,4,6,7,2,0,0,4,4,5,3,5,1,3,4,4,3,4,2,3.75
Yes,Male,11,2,5,0,16,2,2,1,3,2,6,2,1,1,4,2,4,5,3,3.75
Yes,Male,9,0,6,10,4,0,7,4,4,5,3,6,1,2,3,3,2,2,4,2.5
Yes,Female,12,3,7,2,2,8,2,4,3,4,3,4,3,2,3,3,4,3,3,3.25
Yes,Female,12,3,6,4,2,0,4,6,1,5,3,6,7,4,3,4,2,6,3,3.75
Yes,Male,12,6,8,0,8,0,0,4,1,6,7,4,1,2,2,3,2,5,4,3
Yes,Male,10,2,9,4,3,9,0,1,6,6,5,6,5,4,5,5,6,7,5,5.75
Yes,Female,12,7,5,4,4,0,1,6,4,2,2,5,1,1,2,1,2,1,1,1.5
Yes,Male,11,2,7,4,6,0,2,6,4,5,3,5,1,4,5,4,4,5,5,4.5
Yes,Female,10,9,7,2,4,0,0,4,1,5,2,4,1,2,2,2,1,2,3,1.75
Yes,Male,11,4,6,9,9,0,0,4,2,5,6,3,1,3,4,3,3,3,3,3.25
Yes,Female,11,2,6,6,5,0,1.3,7,2,7,4,5,1,2,3,3,2,4,2,3
Yes,Male,9,0,6,1,4,4,0,4,5,5,2,6,1,4,5,3,4,6,6,4.5
Yes,Male,11,1,8,0,6,10,10,7,3,7,6,7,1,6,5,4,5,5,6,4.75
Yes,Male,12,4,7,3,2,0,8,6,1,5,3,7,6,3,5,5,5,4,5,4.75
Yes,Male,10,1,9,1,6,0,10,6,2,6,2,5,1,7,4,4,1,3,5,3
Yes,Female,11,2,7,4,2.5,0,3,5,2,6,4,4,1,2,5,4,3,6,5,4.5
Yes,Male,9,3,4,3,1,0,1,6,1,4,1,5,2,2,3,2,1,3,2,2.25
Yes,Male,9,9,3,2.4,7,40,11,4,1,1,4,4,4,6,2,1,3,5,1,2.75
Yes,Male,10,0,6,0,6,0,0,7,1,3,1,4,1,1,2,1,1,1,2,1.25
Yes,Female,12,0,7,2,1,0,3,6,4,5,6,2,1,1,4,3,6,6,4,4.75
Yes,Male,12,0,6.5,2,6,0,0,4,2,3,5,5,1,5,3,6,2,5,5,4
